date, time, home, away, scorehome, scoreaway, season, session, part_session
2024-12-2,6:00,Brits,Dunesday, 1, 8,2024/2025,1,Regular
2024-12-2,6:55,Clann,Ajax, 5, 7,2024/2025,1,Regular
2024-12-2,7:50,Grumpys,Du Nord, 5, 5,2024/2025,1,Regular
2024-12-2,8:45,Vandals,Nighthawks,4,3,2024/2025,1,Regular
2024-12-2,9:40,Swamp Dragons,Tsunami, 1, 7,2024/2025,1 ,Regular
2024-12-9,6:00,Grumpys,Swamp Dragons, 7, 3,2024/2025,1 ,Regular
2024-12-9,6:55,Vandals,Dunesday, 3, 8,2024/2025,1,Regular
2024-12-9,7:50,Brits,Du Nord, 4,4,2024/2025,1,Regular
2024-12-9,8:45,Clann,Tsunami, 6,7,2024/2025,1,Regular
2024-12-9,9:40,Nighthawks,Ajax, 3, 3,2024/2025,1 ,Regular
2024-12-16,6:00,Dunesday,Nighthawks, 7, 2,2024/2025,1  ,Regular
2024-12-16,6:55,Vandals,Swamp Dragons, 1,2,2024/2025,1,Regular
2024-12-16,7:50,Ajax,Brits, 5,2,2024/2025,1,Regular
2024-12-16,8:45,Tsunami,Grumpys, 1, 5,2024/2025,1 ,Regular
2024-12-16,9:40,Du Nord,Clann, 5,2,2024/2025,1,Regular
2024-12-23,6:00,Dunesday,Clann, 7,7,2024/2025,1,Regular
2024-12-23,6:55,Du Nord,Swamp Dragons, 3,7,2024/2025,1,Regular
2024-12-23,7:50,Ajax,Grumpys, 10, 1,2024/2025,1,Regular
2024-12-23,8:45,Nighthawks,Brits, 3, 7,2024/2025,1 ,Regular
2024-12-23,9:40,Vandals,Tsunami, 6,2,2024/2025,1,Regular
2024-12-30,6:00,Vandals,Ajax,11,8,2024/2025,1,Regular
2024-12-30,6:55,Nighthawks,Tsunami,7,4,2024/2025,1,Regular
2024-12-30,7:50,Clann,Grumpys,5,12,2024/2025,1,Regular
2024-12-30,8:45,Dunesday,Du Nord,2,5,2024/2025,1,Regular
2024-12-30,9:40,Brits,Swamp Dragons,5,0,2024/2025,1,Regular
2025-01-06,6:00,Tsunami,Brits, 7,2,2024/2025,1 ,Regular
2025-01-06,6:55,Vandals,Grumpys,2,1,2024/2025,1,Regular
2025-01-06,7:50,Swamp Dragons,Clann,3,3,2024/2025,1,Regular
2025-01-06,8:45,Du Nord,Nighthawks,4,10,2024/2025,1,Regular
2025-01-06,9:40,Ajax,Dunesday,9,5,2024/2025,1,Regular
2025-01-27,7:00,Brits,Nighthawks,4,9,2024/2025,2,Regular
2025-01-27,7:55,Du Nord,Clann,2,9,2024/2025,2,Regular
2025-01-27,8:50,Tsunami,Vandals,3,4,2024/2025,2,Regular
2025-01-27,9:45,Swamp Dragons,Ajax,3,1,2024/2025,2,Regular
2025-01-27,10:40,Dunesday,Grumpys,4,8,2024/2025,2,Regular
2025-02-03,7:00,Clann,Dunesday,5,5,2024/2025,2,Regular
2025-02-03,7:55,Brits,Ajax,6,5,2024/2025,2,Regular
2025-02-03,8:50,Grumpys,Vandals,3,4,2024/2025,2,Regular
2025-02-03,9:45,Du Nord,Nighthawks,2,6,2024/2025,2,Regular
2025-02-03,10:40,Swamp Dragons,Tsunami,2,12,2024/2025,2,Regular
2025-02-10,7:00,Grumpys,Swamp Dragons,3,2,2024/2025,2,Regular
2025-02-10,7:55,Du Nord,Dunesday,6,10,2024/2025,2,Regular
2025-02-10,8:50,Brits,Tsunami,8,6,2024/2025,2,Regular
2025-02-10,9:45,Clann,Vandals,5,5,2024/2025,2,Regular
2025-02-10,10:40,Nighthawks,Ajax,10,8,2024/2025,2,Regular
